"stop_name";"stop_lat";"stop_lon";"stop_id"
"Řečkovice, nádraží";"49,250794";"16,590446";"U1557Z10"
"Řikonín, železniční stanice";"49,365833";"16,305833";"U13425Z11"
"Šakvice, železniční stanice";"48,912883";"16,70557";"U15425Z11"
"Šatov, železniční stanice";"48,780786";"16,026006";"U18168Z11"
"Šlapanice, železniční stanice";"49,156654";"16,729514";"U16137Z10"
"Šlapanice, železniční zastávka";"49,163271";"16,718638";"U16136Z11"
"Štěpánovice";"49,374445";"16,388056";"U13462Z2"
"Šumná, železniční stanice";"48,923097";"15,874306";"U18259Z11"
"Žabčice, žel. st.";"49,010278";"16,594722";"U15306Z11"
"Židenice, nádraží";"49,204282";"16,636042";"U1809Z10"
"Židlochovice, železniční stanice";"49,033178";"16,617165";"U15241Z22"
